Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z_trans(1),z(1),dc(1),likelihood,penalty,bic
P031,POST,Happy,0.834003374,3.887943043,0.187878544,-0.810445222,0.30779563,2.377386798,-521.9803346,30.45104289,552.4313775
P032,POST,Happy,0.552255385,1.702953684,0.237895112,-0.12266458,0.469372249,1.963750242,-639.3934824,30.45104289,669.8445253
P033,POST,Happy,0.602271102,3.521689095,0.205154426,-0.117529654,0.470651362,1.014400991,-546.274882,30.45104289,576.7259249
P034,POST,Happy,0.791739542,2.857082445,0.182029196,-0.559449047,0.363674949,2.269549952,-545.1143934,30.45104289,575.5654363
P035,POST,Happy,0.976667976,4.63464536,0.196217574,-1.332721812,0.208709502,3.024674806,-529.3968025,30.45104289,559.8478453
P036,POST,Happy,0.834808161,5.239137228,0.221616041,-0.592722834,0.356010354,2.461936238,-488.2908918,30.45104289,518.7419347
P037,POST,Happy,0.85511304,3.911740338,0.206081782,-0.348855419,0.413660007,1.497575099,-499.8412203,30.45104289,530.2922632
P038,POST,Happy,0.761928598,2.966147867,0.209162332,-1.249705714,0.222751085,2.352484571,-560.7449955,30.45104289,591.1960384
P039,POST,Happy,0.771119375,2.528660939,0.192318363,0.011611817,0.502902922,1.807684652,-592.8796182,30.45104289,623.3306611
P040,POST,Happy,0.740448493,2.532202961,0.205651784,0.006418292,0.501604568,1.471912089,-574.0652581,30.45104289,604.5163009
P041,POST,Happy,0.804028792,3.056267897,0.183464772,-0.210988082,0.447447786,1.517464152,-552.6150737,30.45104289,583.0661166
P042,POST,Happy,0.71348412,4.112011707,0.211063335,-0.916032227,0.285767045,2.159675017,-541.091225,30.45104289,571.5422679
P043,POST,Happy,0.712891908,3.416481473,0.217128545,-0.826035906,0.304483909,1.797754263,-519.9432103,30.45104289,550.3942532
P044,POST,Happy,0.678810075,4.090614512,0.240074235,-1.089336596,0.251743222,1.738082787,-509.8852397,30.45104289,540.3362826
P045,POST,Happy,0.670965545,2.725847411,0.223043624,-0.451410418,0.389025479,1.44423711,-573.9610407,30.45104289,604.4120836
P046,POST,Happy,0.709137342,5.105371599,0.223632019,-0.380310777,0.406051944,2.533152378,-508.4426347,30.45104289,538.8936775
